name,variable,Use_Case
augmentin 625 duo tablet,use0,Treatment of Bacterial infections
azithral 500 tablet,use0,Treatment of Bacterial infections
ascoril ls syrup,use0,Treatment of Cough with mucus
allegra 120mg tablet,use0,Treatment of Sneezing and runny nose due to allergies
avil 25 tablet,use0,Treatment of Allergic conditions
allegra-m tablet,use0,Treatment of Sneezing and runny nose due to allergies
amoxyclav 625 tablet,use0,Treatment of Bacterial infections
azee 500 tablet,use0,Treatment of Bacterial infections
atarax 25mg tablet,use0,Treatment of Anxiety
ascoril d plus syrup sugar free,use0,Treatment of Dry cough
aciloc 150 tablet,use0,Treatment of Gastroesophageal reflux disease (Acid reflux)
alex syrup,use0,Treatment of Dry cough
anovate cream,use0,Treatment of Piles
augmentin duo oral suspension,use0,Treatment of Resistance Tuberculosis (TB)
ambrodil-s syrup,use0,Treatment of Cough
arkamin tablet,use0,Treatment of Hypertension (high blood pressure)
avomine tablet,use0,Treatment of Nausea
asthakind-dx syrup sugar free,use0,Treatment of Dry cough
allegra 180mg tablet,use0,Treatment of Sneezing and runny nose due to allergies
albendazole 400mg tablet,use0,Treatment of Parasitic infections
asthalin syrup,use0,Treatment of Chronic obstructive pulmonary disease (COPD)
alprax 0.25 tablet,use0,Treatment of Anxiety
altraday capsule sr,use0, Pain relief
ativan 2mg tablet,use0,Treatment of Short term anxiety
ascoril ls junior syrup,use0,Treatment of Cough with mucus
asthalin 100mcg inhaler,use0,Treatment of Chronic obstructive pulmonary disease (COPD)
almox 500 capsule,use0,Treatment of Bacterial infections
atarax 10mg tablet,use0,Treatment of Anxiety
aciloc rd 20 tablet,use0,Treatment of Gastroesophageal reflux disease (Acid reflux)
aldactone tablet,use0, Hypertension (high blood pressure)
allegra suspension raspberry & vanilla,use0,Treatment of Sneezing and runny nose due to allergies
atarax syrup,use0,Treatment of Anxiety
amlokind-at tablet,use0,Treatment of Hypertension (high blood pressure)
axcer  90mg tablet,use0, Prevention of heart attack and stroke
ativan 1mg tablet,use0,Treatment of Short term anxiety
alkasol oral solution,use0,Treatment of Gout
aldigesic p 100mg/325mg tablet,use0, Pain relief
alfoo 10mg tablet pr,use0,Treatment of Benign prostatic hyperplasia
alprax 0.5mg tablet,use0,Treatment of Anxiety
arachitol 6l injection,use0,Treatment of Vitamin D deficiency
anafortan 25 mg/300 mg tablet,use0,Treatment of Abdominal pain
alex junior syrup,use0,Treatment of Dry cough
azithral 200 liquid,use0,Treatment of Bacterial infections
ab phylline capsule,use0, Chronic obstructive pulmonary disease (COPD)
althrocin 500 tablet,use0,Treatment of Bacterial infections
augmentin dds suspension,use0,Treatment of Resistant Tuberculosis (TB)
azicip 500 tablet,use0,Treatment of Bacterial infections
aldigesic-sp tablet,use0, Pain relief
amoxycillin 500mg capsule,use0,Treatment of Bacterial infections
asthakind expectorant sugar free,use0,Treatment of Cough with mucus
acemiz plus tablet,use0, Pain relief
aceclo plus tablet,use0, Pain relief
anobliss cream,use0,Treatment of Anal fissure
alex cough lozenges lemon ginger,use0, Dry cough
asthalin respules,use0,Treatment of Chronic obstructive pulmonary disease (COPD)
avil injection,use0,Treatment of Allergic conditions
azee 200mg dry syrup,use0,Treatment of Bacterial infections
atorva tablet,use0, High cholesterol
